q1	q2	q19	q20	q25	q47	q50a	q50b	q50c	q50d	q50e	q58	q60	q61a	q61b	q61c	q64	q65a	q65b	q65c	q65d	q65e	q66	q68a	q68b	q68d	q69	q70	q71	q75
1	Dissatisfied	Disapprove	Some of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	(VOL) Don't know/Refused	Statement #2	(VOL) Don't know/Refused	Statement #2	Favor	(VOL) Don't know/Refused	Some	Some	Some	Not too fair	A lot	A lot	A lot	A lot	A lot	Losing influence	(VOL) Don't know/Refused	Unfriendly toward religion	Friendly toward religion	(VOL) Don't know/Refused	Disapprove	Not at all well	A lot
2	Dissatisfied	Disapprove	Some of the time	Frustrated	(VOL) Never	(VOL) Don't know/Refused	Statement #1	Statement #2	Statement #2	Statement #2	Statement #1	(VOL) Don't know/Refused	Never fair game	A lot	(VOL) Don't know/Refused	Only a little	(VOL) Don't know/Refused	A lot	Not too much	A lot	A lot	A lot	Losing influence	(VOL) Don't know/Refused	Unfriendly toward religion	Unfriendly toward religion	Should express their views on day-to-day social and political questions	Disapprove	Not too well	A lot
3	(VOL) Don't know/Refused	Approve	Most of the time	Frustrated	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #2	Statement #1	Favor	Never fair game	Only a little	None at all	Only a little	Moderately fair	Some	Some	Not too much	Some	Not too much	(VOL) Same	Friendly toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Approve	Not too well	A lot
4	Satisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	Statement #2	Statement #1	Statement #2	(VOL) Neither/Both equally	Statement #2	Strongly oppose	(VOL) Other/Depends	Only a little	Only a little	Some	Not too fair	Some	A lot	A lot	Some	A lot	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
5	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	Some	None at all	Not too fair	Some	Not too much	A lot	Not at all	A lot	Increasing influence	Unfriendly toward religion	Unfriendly toward religion	Neutral toward religion	Should keep out of political matters	Disapprove	Very well	A lot
6	Satisfied	Approve	Most of the time	Basically content	Only some of the time	No, not keeping promises	Statement #2	Statement #1	Statement #2	Statement #2	Statement #1	Favor	Never fair game	A lot	A lot	Some	Not too fair	A lot	Some	A lot	Some	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Somewhat well	A little
7	Satisfied	Approve	Most of the time	Angry	(VOL) Never	No, not keeping promises	Statement #2	Statement #1	Statement #1	Statement #2	Statement #2	Favor	Sometimes fair game [OR IS IT]	Only a little	None at all	A lot	Moderately fair	Not too much	A lot	Some	Not at all	Some	Losing influence	Unfriendly toward religion	Neutral toward religion	Neutral toward religion	Should keep out of political matters	Approve	Very well	A lot
8	Dissatisfied	Approve	Some of the time	Basically content	Most of the time	(VOL) Don't know/Refused	Statement #2	Statement #1	Statement #1	Statement #2	Statement #1	Favor	Sometimes fair game [OR IS IT]	A lot	Some	None at all	Moderately fair	Some	A lot	A lot	A lot	Not at all	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	(VOL) Don't know/Refused	Not at all well	A lot
9	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Moderately fair	Not at all	Some	Some	Not at all	A lot	Losing influence	Neutral toward religion	Neutral toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
10	Dissatisfied	Disapprove	Most of the time	Frustrated	Only some of the time	Yes, keeping promises	Statement #1	Statement #1	Statement #1	Statement #1	Statement #1	Strongly favor	Never fair game	A lot	A lot	Only a little	Not too fair	Not at all	Some	Some	Not at all	Some	Losing influence	Neutral toward religion	Friendly toward religion	Neutral toward religion	Should express their views on day-to-day social and political questions	Disapprove	Very well	A lot
